arrival_date,arrival_time,depart_date,depart_time,price,seats,tclass,title,scrape_date
2020-01-13,01:27,2020-01-12,22:05,110000,99,ekonomi (Subclass S),argo parahyangan 50,2020-01-12
2020-01-13,02:05,2020-01-12,22:55,110000,99,ekonomi (Subclass S),argo parahyangan 52,2020-01-12
2020-01-13,02:40,2020-01-12,23:30,110000,99,ekonomi (Subclass S),argo parahyangan 70F,2020-01-12
2020-01-12,20:29,2020-01-12,17:10,130000,99,ekonomi (Subclass P),mutiara selatan 104,2020-01-12
2020-01-12,20:59,2020-01-12,17:45,150000,1,eksekutif (Subclass J),argo parahyangan 46,2020-01-12
2020-01-13,01:27,2020-01-12,22:05,150000,99,eksekutif (Subclass J),argo parahyangan 50,2020-01-12
2020-01-13,02:05,2020-01-12,22:55,150000,99,eksekutif (Subclass J),argo parahyangan 52,2020-01-12
2020-01-13,02:40,2020-01-12,23:30,150000,99,eksekutif (Subclass J),argo parahyangan 70F,2020-01-12
2020-01-13,01:27,2020-01-12,22:05,290000,99,eksekutif (Subclass I),argo parahyangan priority 50P,2020-01-12
2020-01-12,20:59,2020-01-12,17:45,,0,ekonomi (Subclass S),argo parahyangan 46,2020-01-12
2020-01-12,22:08,2020-01-12,18:45,,0,ekonomi (Subclass S),argo parahyangan 48,2020-01-12
2020-01-12,20:59,2020-01-12,17:45,,0,ekonomi (Subclass Q),argo parahyangan 46,2020-01-12
2020-01-12,22:08,2020-01-12,18:45,,0,ekonomi (Subclass Q),argo parahyangan 48,2020-01-12
2020-01-13,01:27,2020-01-12,22:05,,0,ekonomi (Subclass Q),argo parahyangan 50,2020-01-12
2020-01-13,02:05,2020-01-12,22:55,,0,ekonomi (Subclass Q),argo parahyangan 52,2020-01-12
2020-01-13,02:40,2020-01-12,23:30,,0,ekonomi (Subclass Q),argo parahyangan 70F,2020-01-12
2020-01-12,20:59,2020-01-12,17:45,,0,ekonomi (Subclass P),argo parahyangan 46,2020-01-12
2020-01-12,22:08,2020-01-12,18:45,,0,ekonomi (Subclass P),argo parahyangan 48,2020-01-12
2020-01-13,01:27,2020-01-12,22:05,,0,ekonomi (Subclass P),argo parahyangan 50,2020-01-12
2020-01-13,02:05,2020-01-12,22:55,,0,ekonomi (Subclass P),argo parahyangan 52,2020-01-12
2020-01-13,02:40,2020-01-12,23:30,,0,ekonomi (Subclass P),argo parahyangan 70F,2020-01-12
2020-01-12,20:29,2020-01-12,17:10,,0,ekonomi (Subclass S),mutiara selatan 104,2020-01-12
2020-01-12,20:29,2020-01-12,17:10,,0,ekonomi (Subclass C),mutiara selatan 104,2020-01-12
2020-01-12,20:29,2020-01-12,17:10,,0,ekonomi (Subclass Q),mutiara selatan 104,2020-01-12
2020-01-12,20:29,2020-01-12,17:10,,0,ekonomi (Subclass CA),mutiara selatan 104,2020-01-12
2020-01-12,22:08,2020-01-12,18:45,,0,eksekutif (Subclass J),argo parahyangan 48,2020-01-12
2020-01-12,20:59,2020-01-12,17:45,,0,eksekutif (Subclass I),argo parahyangan 46,2020-01-12
2020-01-12,22:08,2020-01-12,18:45,,0,eksekutif (Subclass I),argo parahyangan 48,2020-01-12
2020-01-13,01:27,2020-01-12,22:05,,0,eksekutif (Subclass I),argo parahyangan 50,2020-01-12
2020-01-13,02:05,2020-01-12,22:55,,0,eksekutif (Subclass I),argo parahyangan 52,2020-01-12
2020-01-13,02:40,2020-01-12,23:30,,0,eksekutif (Subclass I),argo parahyangan 70F,2020-01-12
2020-01-12,20:59,2020-01-12,17:45,,0,eksekutif (Subclass H),argo parahyangan 46,2020-01-12
2020-01-12,22:08,2020-01-12,18:45,,0,eksekutif (Subclass H),argo parahyangan 48,2020-01-12
2020-01-13,01:27,2020-01-12,22:05,,0,eksekutif (Subclass H),argo parahyangan 50,2020-01-12
2020-01-13,02:05,2020-01-12,22:55,,0,eksekutif (Subclass H),argo parahyangan 52,2020-01-12
2020-01-13,02:40,2020-01-12,23:30,,0,eksekutif (Subclass H),argo parahyangan 70F,2020-01-12
2020-01-12,20:29,2020-01-12,17:10,,0,eksekutif (Subclass J),mutiara selatan 104,2020-01-12
2020-01-12,20:29,2020-01-12,17:10,,0,eksekutif (Subclass A),mutiara selatan 104,2020-01-12
2020-01-12,20:29,2020-01-12,17:10,,0,eksekutif (Subclass AA),mutiara selatan 104,2020-01-12
2020-01-12,20:29,2020-01-12,17:10,,0,eksekutif (Subclass I),mutiara selatan 104,2020-01-12
2020-01-12,20:29,2020-01-12,17:10,,0,eksekutif (Subclass H),mutiara selatan 104,2020-01-12
2020-01-12,22:08,2020-01-12,18:45,,0,eksekutif (Subclass I),argo parahyangan priority 48P,2020-01-12
2020-01-13,03:40,2020-01-13,00:40,110000,99,ekonomi (Subclass S),argo parahyangan 66F,2020-01-12
2020-01-13,08:46,2020-01-13,05:30,110000,99,ekonomi (Subclass S),argo parahyangan 36,2020-01-12
2020-01-13,09:49,2020-01-13,06:15,110000,99,ekonomi (Subclass S),argo parahyangan 38,2020-01-12
2020-01-13,11:19,2020-01-13,07:50,110000,99,ekonomi (Subclass C),pangandaran 176,2020-01-12
2020-01-13,12:13,2020-01-13,08:55,110000,99,ekonomi (Subclass S),argo parahyangan 40,2020-01-12
2020-01-13,14:09,2020-01-13,10:45,110000,99,ekonomi (Subclass S),argo parahyangan 42,2020-01-12
2020-01-13,16:33,2020-01-13,13:10,110000,99,ekonomi (Subclass S),argo parahyangan 54,2020-01-12
